k1_y,k1_x,k2_y,k2_x
348,277,356,721
349,272,357,722
355,275,356,720
347,275,359,723
354,279,359,724
352,275,361,723
348,275,353,721
351,276,359,725
350,264,360,718
356,266,359,713
361,267,358,712
355,274,359,712
360,306,360,707
360,330,355,705
345,358,355,701
345,392,357,704
343,423,356,712
342,453,357,702
401,567,358,701
357,509,354,701
373,522,352,693
392,537,358,695
402,542,358,697
411,550,366,693
412,546,360,699
413,535,356,697
404,543,358,696
397,544,361,707
393,534,360,712
389,538,360,717
379,537,361,726
363,541,362,723
330,553,364,728
297,561,366,725
266,579,362,725
250,597,364,724
221,613,366,724
204,624,365,720
187,635,360,722
179,637,356,724
174,648,353,712
167,651,358,723
178,646,362,718
175,643,364,719
181,644,366,717
174,643,361,717
169,644,362,719
181,644,362,719
178,649,357,718
173,645,358,720
177,644,362,716
180,646,362,718
178,647,358,719
177,646,358,709
174,653,358,710
179,649,355,705
172,645,359,698
177,648,363,691
181,649,358,686
193,648,360,682
195,630,362,684
177,605,360,687
179,594,357,687
174,575,357,680
167,549,360,682
167,534,360,678
156,513,357,680
144,488,359,682
132,459,362,686
136,435,359,686
136,420,362,689
142,421,361,682
140,419,361,683
143,416,368,687
140,421,370,682
135,420,372,678
134,415,374,675
138,417,369,677
125,395,378,677
133,392,375,685
143,374,369,682
147,353,369,687
142,338,366,682
144,310,363,684
147,294,358,678
154,275,360,674
150,245,363,676
154,244,364,681
161,243,364,680
160,239,375,680
169,248,361,689
158,269,365,697
158,288,377,693
144,310,378,695
147,341,383,687
138,363,390,683
148,400,395,671
160,408,397,670
191,419,396,668
217,445,397,677
256,464,397,676
289,469,395,670
324,483,393,658
345,500,379,658
380,529,365,662
392,538,356,665
401,556,332,659
400,552,307,669
403,575,294,671
398,579,250,671
399,582,244,676
399,584,223,679
390,589,197,692
396,579,187,702
389,578,175,698
396,577,173,700
396,576,165,702
390,569,176,711
390,586,166,708
385,592,172,706
377,589,160,687
375,588,165,689
371,592,157,679
374,591,159,673
369,591,160,651
372,594,167,630
360,594,170,613
367,586,157,609
367,588,155,606
365,593,152,576
365,589,156,537
365,591,150,502
364,594,144,473
366,588,136,438
368,593,133,396
370,587,132,353
371,591,130,328
373,587,144,298
376,592,160,287
375,595,161,268
368,587,173,259
366,595,169,261
372,589,167,256
368,587,171,268
371,589,165,272
377,584,160,277
370,586,173,287
367,589,165,295
366,586,175,296
369,589,175,307
367,589,177,306
370,598,181,313
371,600,179,313
363,596,178,314
364,592,172,305
367,587,171,308
371,598,176,306
357,586,176,301
357,585,169,298
346,587,169,311
324,593,157,330
314,587,145,332
307,591,150,364
307,595,154,388
301,595,151,423
296,598,150,453
305,598,149,482
300,596,149,499
307,591,160,515
304,590,163,535
299,586,174,559
306,582,168,588
305,577,173,601
303,572,184,628
315,572,213,650
327,563,241,666
335,552,277,686
347,517,293,711
357,486,317,713
369,463,339,719
376,434,353,731
362,408,363,740
372,382,368,742
371,391,367,749
377,377,368,753
380,375,373,749
387,366,367,745
389,371,371,742
385,368,370,736
385,364,368,741
385,346,373,738
384,326,372,748
393,315,372,745
403,307,371,746
411,280,374,744
402,272,373,745
394,263,382,737
395,266,378,740
397,254,358,742
389,265,355,744
392,250,360,703
385,257,346,678
382,254,339,635
383,252,365,547
384,255,384,463
388,239,400,409
381,246,415,393
385,240,424,370
377,242,419,362
379,248,422,363
379,239,422,368
378,237,415,378
371,241,422,375
373,241,422,378
373,245,417,379
372,240,415,383
370,237,420,374
366,237,424,380
367,232,430,374
354,226,427,364
356,220,420,348
351,209,418,343
355,202,421,336
347,213,425,328
351,205,433,328
346,201,426,336
348,199,430,332
351,202,426,350
344,195,416,351
338,197,425,361
347,200,416,356
343,198,420,356
347,202,421,366
347,200,427,371
348,205,435,377
347,202,425,373
344,206,414,383
347,197,396,371
344,202,387,382
349,207,367,382
347,202,342,386
349,218,332,403
345,228,311,411
342,226,302,405
351,224,309,405
357,227,300,387
359,238,303,387
373,248,294,377
374,262,276,380
370,284,269,375
372,284,254,374
373,288,250,358
359,273,248,356
356,273,250,339
358,270,236,324
343,270,223,314
346,264,216,312
347,264,204,312
350,265,207,310
346,262,217,312
343,258,210,319
335,258,214,313
347,256,215,318
348,259,213,320
336,261,203,300
338,254,196,285
342,251,200,271
349,245,189,265
329,243,174,261
338,246,178,258
336,257,181,246
335,261,200,232
336,271,232,224
333,263,253,220
332,260,277,208
341,251,297,188
347,249,313,187
345,254,323,186
345,250,330,183
349,248,332,182
342,254,340,179
336,261,341,182
341,266,337,180
349,279,338,180
351,287,339,180
362,292,339,180
361,295,339,170
361,317,338,169
372,324,337,164
380,325,336,175
395,342,340,188
405,353,341,192
404,351,341,188
404,368,339,188
407,370,337,191
410,378,339,203
410,373,345,213
414,382,336,201
408,377,336,207
413,375,333,204
